title,genre,director,country,year,imdb_id,imdb_rating
"Авива, любовь моя",драматический фильм,Шеми Зархин,Израиль,2006,tt0833422,7.2
Авиапочта,"мелодрама, приключения",Ирвин Виллат,США,1925,tt0015547,6.4
Авиатор,"фильм-биография, драма",Мартин Скорсезе,"США, Германия",2004,tt0338751,7.5
Аве Мария,"драма, мелодрама",Людмила Ефименко,Украина,1999,tt0228041,7.4
Августовские киты,драма,Линдсей Андерсон,США,1987,tt0094315,7.1
Аве Цезарь,комедия,Энтони Майкл Холл,США,1994,tt0109969,3.2
Авдотья Павловна,"киноповесть, драма, социальная драма",Александр Муратов,СССР,1966,tt0290438,6.3
Августовская рапсодия,драма,Акира Куросава,Япония,1991,tt0101991,7.2
Август Раш,"драма, мелодрама",Кирстен Шеридан,США,2007,tt0426931,7.4
Август: Графство Осейдж,драма,Джон Уэллс,США,2013,tt1322269,7.2
Август без императора,"драма, триллер",Сацуо Ямамото,Япония,1978,tt0328049,6.7
1993,драматический фильм,Александр Велединский,Россия,2023,tt22460506,6.2
Август. Восьмого,"военный, боевик, драма",Джаник Файзиев,Россия,2012,tt2094767,5.6
"Аватар, или Замена душ","фантастика, драма",Януш Маевский,Польша,1964,tt0932937,6.8
Август,"комедия, драма",Энтони Хопкинс,Великобритания,1996,tt0115591,5.8
«Аватар: Путь воды»,,"Джеймс Кэмерон, Экспедиция «Бисмарк», Чужие из бездны",США,2022,tt1630029,7.5
Аватар: Огонь и пепел,"эпический фильм, научная фантастика, боевик, приключения, фэнтези","Джеймс Кэмерон, Экспедиция «Бисмарк», Чужие из бездны",США,2025,tt1757678,Рейтинг не найден
Аватар,драма,Кармине Галлоне,Италия,1916,tt0278325,7.2
Аватар,,"Джеймс Кэмерон, Экспедиция «Бисмарк», Чужие из бездны","США, [, ], [, ], [, ], Великобритания, [, ]",2009,tt0499549,7.9
Авария!,Ужасы,Чарльз Бэнд,США,1976,tt0075887,4.8
Авария,триллер,Джонатан Мостоу,США,1997,tt0118771,7.0
Авария,детектив,Джеймс Аллен,"ЮАР, США, Заир",1990,tt0096995,3.6
Авария (Несчастный случай),боевик,Серджиу Николаеску,Румыния,1976,tt0074090,6.7
Авария,"детектив, драма",Витаутас Жалакявичюс,СССР,1974,tt1753465,6.6
Авантюрист,"драма, приключенческий фильм",Чжан Пэйчэн,Китайская Республика,1976,tt1399203,Рейтинг не найден
Авантюристы,приключенческий фильм,Дэвид Макдональд,Великобритания,1951,tt0043263,5.5
Авария,Детектив,"Александр Абрамов, Наум Бирман",СССР,1965,tt0147861,6.8
Аварийный выход,комедия,Роман Залуски,Польша,1982,tt0084923,6.7
Авария — дочь мента,драма,Михаил Туманишвили,СССР,1989,tt0096858,6.6
Авантюристы,приключения,Константин Буслов,Россия,2014,tt3684498,4.1
Авантюристы,"драма, комедия, боевик, военный, приключения",Анри Вернёй,Франция,1984,tt0087742,6.1
Авантюра,"комедия, шпионский фильм",Виталий Макаров,"Россия, Украина",1995,tt0112422,4.2
Аванпост,"фильм-триллер, постапокалиптический фильм, научно-фантастический фильм","Баранов, Егор Геннадьевич",Россия,2019,tt8664988,6.0
Авангард: Арктические волки,боевик,Стэнли Тонг,Китай,2020,tt9695722,4.7
Авалон,драма,Барри Левинсон,США,1990,tt0099073,7.2
Ава,драма,Леа Мисиус,Франция,2017,tt6194530,6.6
Агент Коди Бэнкс,"комедия, пародия, боевик",Харальд Цварт,США,2003,tt0313911,5.1
Авантюра леди Хелен,короткометражный фильм,Дэвид Уорк Гриффит,США,1909,tt0000933,5.1
Аватар 4,"эпический фильм, научная фантастика, боевик, приключения, фэнтези","Джеймс Кэмерон, Экспедиция «Бисмарк», Чужие из бездны",США,2029,tt3095356,Рейтинг не найден
Агент Ева,"боевик, триллер, драма, криминал, детектив",Тейт Тейлор,США,"25 сентября, 2020, 2 июля, 2020",tt8784956,5.5
Алая буква,драма,Виктор Шёстрём,США,1926,tt0017350,7.6
Агент Картер,"короткометражка, боевик, приключения, научная фантастика",Луис Д'Эспозито,США,2013,tt3067038,7.4
Аланис,драматический фильм,Анаи Бернери,Аргентина,"21 сентября, 2017, 22 сентября, 2017, 2 октября, 2017, 9 сентября, 2017",tt7297954,6.2
Алая буква,драматический фильм,"Джозеф В. Смайли, Джордж Лоан Такер",США,1911,tt0001872,7.5
Алан Партридж: Альфа Отец,комедия,Деклан Лоуни,"Великобритания, Франция",,tt0469021,6.9
Аламо,"Драма, исторический фильм, военный фильм, вестерн",Джон Ли Хэнкок,США,2004,tt0318974,6.1
Аладдин и его волшебная лампа,"приключенческий фильм, комедия, семейный фильм, фэнтези",Тим Бёртон,США,1986,tt0125603,6.5
Штурмующие,"драма, боевик",Берт Кеннеди,США,1987,tt0092527,6.1
Авалон,"фантастика, триллер, драма, киберпанк",Мамору Осии,"Япония, Польша",2001,tt0267287,6.4
Алавердоба,притча,Георгий Шенгелая,СССР,1962,tt0174452,8.2
Акция,военный фильм,Владимир Шамшурин,СССР,1987,tt0092526,6.0
Акулий торнадо 5: Глобальное роение,"комедийный, научно-фантастический, фильм ужасов, фильм-катастрофа",Энтони Ферранте,США,2017,tt6298780,3.9
Акулий торнадо 4: Пробуждение,"комедийный, научно-фантастический, фильм ужасов, фильм-катастрофа",Энтони Ферранте,США,2016,tt4831420,3.9
Акулосьминог,"ужасы, фантастика, боевик, комедия",Деклан О’Брайен,США,2010,tt1619880,3.3
Акулий торнадо 2: Второй по счёту,"ужасы, комедия, фантастика, трэш",Энтони Ферранте,США,2014,tt3062074,4.0
Акулий торнадо 3,"комедийный, научно-фантастический, фильм ужасов, фильм-катастрофа",Энтони Ферранте,США,2015,tt3899796,4.0
Акула-робот,"Фантастика, комедия, Боевик, Триллер",Джеффри Скотт Ландо,,2015,tt4443784,3.0
Акулий торнадо,"фильм-катастрофа, ужасы, фантастика, комедия",Энтони Ферранте,США,2013,tt2724064,3.3
Акула-монстр,"боевик, фильм ужасов, триллер",Ламберто Бава,"Италия, Франция",1984,tt0088100,2.8
Актрисы,драматический фильм,Ли Джэ Ён,Республика Корея,2009,tt1459219,7.0
Агент Джонни Инглиш: Перезагрузка,,Оливер Паркер,"Великобритания, США, Франция",2011,tt1634122,6.3
Актриса и трансильванцы,вестерн,Мирча Верою,СР Румыния,1979,tt0078799,7.3
Актриса,"мелодрама, комедия, военный фильм",Леонид Трауберг,СССР,1942,tt0035620,7.0
Активная зона,драматический фильм,Леонид Пчёлкин,СССР,1979,tt0078745,6.3
Акулы,"боевик, фильм ужасов, триллер",Боб Мисиоровски,"США, Израиль, ЮАР",1999,tt0161970,3.4
Актёры,"комедия, криминал",Конор МакФерсон,"Великобритания, Германия, Ирландия",2003,tt0307919,5.9
